pen-scored,season,competition,club,date,home-team,final-result,away-team,minute,score-before-pk,goal-keeper,goal-keeper-link
1,12/13,LaLiga,Real Madrid,"Sep 30, 2012",Real Madrid,5:1,Deportivo de La Coruña,83',5:1,Daniel Aranzubia,https://www.transfermarkt.us/daniel-aranzubia/elfmeterstatistik/spieler/7612
1,12/13,LaLiga,Real Madrid,"Sep 30, 2012",Real Madrid,5:1,Deportivo de La Coruña,22',1:1,Daniel Aranzubia,https://www.transfermarkt.us/daniel-aranzubia/elfmeterstatistik/spieler/7612
1,12/13,LaLiga,Real Madrid,"Sep 24, 2012",Rayo Vallecano,0:2,Real Madrid,69',0:2,Rubén Martínez,https://www.transfermarkt.us/ruben-martinez/elfmeterstatistik/spieler/8184
1,11/12,LaLiga,Real Madrid,"May 5, 2012",Granada CF,1:2,Real Madrid,81',1:1,Júlio César,https://www.transfermarkt.us/julio-cesar/elfmeterstatistik/spieler/52647
1,11/12,UEFA Champions League,Real Madrid,"Apr 25, 2012",Real Madrid,3:4,Bayern Munich,6',1:0,Manuel Neuer,https://www.transfermarkt.us/manuel-neuer/elfmeterstatistik/spieler/17259
1,11/12,LaLiga,Real Madrid,"Apr 11, 2012",Atlético de Madrid,1:4,Real Madrid,82',1:3,Thibaut Courtois,https://www.transfermarkt.us/thibaut-courtois/elfmeterstatistik/spieler/108390
1,11/12,LaLiga,Real Madrid,"Feb 12, 2012",Real Madrid,4:2,Levante UD,45',1:1,Gustavo Munúa,https://www.transfermarkt.us/gustavo-munua/elfmeterstatistik/spieler/9091
1,11/12,LaLiga,Real Madrid,"Jan 22, 2012",Real Madrid,4:1,Athletic Bilbao,67',3:1,Gorka Iraizoz,https://www.transfermarkt.us/gorka-iraizoz/elfmeterstatistik/spieler/7874
1,11/12,LaLiga,Real Madrid,"Jan 22, 2012",Real Madrid,4:1,Athletic Bilbao,46',2:1,Gorka Iraizoz,https://www.transfermarkt.us/gorka-iraizoz/elfmeterstatistik/spieler/7874
1,11/12,LaLiga,Real Madrid,"Dec 17, 2011",Sevilla FC,2:6,Real Madrid,86',1:5,Javi Varas,https://www.transfermarkt.us/javi-varas/elfmeterstatistik/spieler/58341
1,11/12,LaLiga,Real Madrid,"Nov 26, 2011",Real Madrid,4:1,Atlético de Madrid,82',4:1,Sergio Asenjo,https://www.transfermarkt.us/sergio-asenjo/elfmeterstatistik/spieler/51710
1,11/12,LaLiga,Real Madrid,"Nov 26, 2011",Real Madrid,4:1,Atlético de Madrid,24',1:1,Sergio Asenjo,https://www.transfermarkt.us/sergio-asenjo/elfmeterstatistik/spieler/51710
1,11/12,LaLiga,Real Madrid,"Nov 6, 2011",Real Madrid,7:1,CA Osasuna,55',4:1,Andrés Fernández,https://www.transfermarkt.us/andres-fernandez/elfmeterstatistik/spieler/57522
1,11/12,UEFA Champions League,Real Madrid,"Nov 2, 2011",Olympique Lyon,0:2,Real Madrid,69',0:2,Hugo Lloris,https://www.transfermarkt.us/hugo-lloris/elfmeterstatistik/spieler/17965
1,11/12,LaLiga,Real Madrid,"Sep 24, 2011",Real Madrid,6:2,Rayo Vallecano,84',6:2,Dani Giménez,https://www.transfermarkt.us/dani-gimenez/elfmeterstatistik/spieler/71801
1,11/12,LaLiga,Real Madrid,"Sep 24, 2011",Real Madrid,6:2,Rayo Vallecano,51',3:1,Dani Giménez,https://www.transfermarkt.us/dani-gimenez/elfmeterstatistik/spieler/71801
1,11/12,LaLiga,Real Madrid,"Sep 10, 2011",Real Madrid,4:2,Getafe CF,59',2:1,Miguel Ángel Moyá,https://www.transfermarkt.us/miguel-angel-moya/elfmeterstatistik/spieler/26065
1,10/11,European Qualifiers,Portugal,"Sep 2, 2011",Cyprus,0:4,Portugal,35',0:1,Antonis Georgallidis,https://www.transfermarkt.us/antonis-georgallidis/elfmeterstatistik/spieler/28997
1,10/11,LaLiga,Real Madrid,"May 10, 2011",Real Madrid,4:0,Getafe CF,90',4:0,Óscar Ustari,https://www.transfermarkt.us/oscar-ustari/elfmeterstatistik/spieler/3755
1,10/11,LaLiga,Real Madrid,"Apr 16, 2011",Real Madrid,1:1,FC Barcelona,82',1:1,Víctor Valdés,https://www.transfermarkt.us/victor-valdes/elfmeterstatistik/spieler/7589
1,10/11,LaLiga,Real Madrid,"Mar 3, 2011",Real Madrid,7:0,Málaga CF,67',6:0,Willy Caballero,https://www.transfermarkt.us/willy-caballero/elfmeterstatistik/spieler/19948
1,10/11,LaLiga,Real Madrid,"Jan 3, 2011",Getafe CF,2:3,Real Madrid,11',0:1,Jordi Codina,https://www.transfermarkt.us/jordi-codina/elfmeterstatistik/spieler/35462
1,10/11,UEFA Champions League,Real Madrid,"Nov 23, 2010",Ajax Amsterdam,0:4,Real Madrid,81',0:4,Maarten Stekelenburg,https://www.transfermarkt.us/maarten-stekelenburg/elfmeterstatistik/spieler/4311
1,10/11,LaLiga,Real Madrid,"Nov 20, 2010",Real Madrid,5:1,Athletic Bilbao,90',5:1,Gorka Iraizoz,https://www.transfermarkt.us/gorka-iraizoz/elfmeterstatistik/spieler/7874
1,10/11,LaLiga,Real Madrid,"Oct 23, 2010",Real Madrid,6:1,Racing Santander,55',5:0,Toño,https://www.transfermarkt.us/tono/elfmeterstatistik/spieler/35536
1,10/11,LaLiga,Real Madrid,"Oct 16, 2010",Málaga CF,1:4,Real Madrid,50',0:3,Galatto,https://www.transfermarkt.us/galatto/elfmeterstatistik/spieler/52311
1,10/11,LaLiga,Real Madrid,"Sep 21, 2010",Real Madrid,3:0,RCD Espanyol Barcelona,28',1:0,Carlos Kameni,https://www.transfermarkt.us/carlos-kameni/elfmeterstatistik/spieler/7914
1,09/10,LaLiga,Real Madrid,"May 8, 2010",Real Madrid,5:1,Athletic Bilbao,21',1:0,Gorka Iraizoz,https://www.transfermarkt.us/gorka-iraizoz/elfmeterstatistik/spieler/7874
1,09/10,LaLiga,Real Madrid,"Apr 4, 2010",Racing Santander,0:2,Real Madrid,23',0:1,Fabio Coltorti,https://www.transfermarkt.us/fabio-coltorti/elfmeterstatistik/spieler/10250
1,09/10,LaLiga,Real Madrid,"Feb 27, 2010",CD Tenerife,1:5,Real Madrid,78',1:4,Sergio Aragoneses,https://www.transfermarkt.us/sergio-aragoneses/elfmeterstatistik/spieler/27492
1,09/10,LaLiga,Real Madrid,"Aug 29, 2009",Real Madrid,3:2,Deportivo de La Coruña,35',2:1,Daniel Aranzubia,https://www.transfermarkt.us/daniel-aranzubia/elfmeterstatistik/spieler/7612
1,08/09,Premier League,Manchester United,"Apr 25, 2009",Manchester United,5:2,Tottenham Hotspur,57',1:2,Heurelho Gomes,https://www.transfermarkt.us/heurelho-gomes/elfmeterstatistik/spieler/19059
1,08/09,Premier League,Manchester United,"Mar 14, 2009",Manchester United,1:4,Liverpool FC,22',1:0,Pepe Reina,https://www.transfermarkt.us/pepe-reina/elfmeterstatistik/spieler/7825
1,08/09,International Friendlies,Portugal,"Feb 11, 2009",Portugal,1:0,Finland,78',1:0,Niki Mäenpää,https://www.transfermarkt.us/niki-maenpaa/elfmeterstatistik/spieler/12359
1,08/09,Premier League,Manchester United,"Jan 31, 2009",Manchester United,1:0,Everton FC,43',1:0,Tim Howard,https://www.transfermarkt.us/tim-howard/elfmeterstatistik/spieler/4267
1,08/09,EFL Cup,Manchester United,"Jan 20, 2009",Manchester United,4:2,Derby County,89',4:1,Roy Carroll,https://www.transfermarkt.us/roy-carroll/elfmeterstatistik/spieler/3534
1,08/09,Premier League,Manchester United,"Sep 27, 2008",Manchester United,2:0,Bolton Wanderers,59',1:0,Jussi Jääskeläinen,https://www.transfermarkt.us/jussi-jaaskelainen/elfmeterstatistik/spieler/3692
1,07/08,Premier League,Manchester United,"May 11, 2008",Wigan Athletic,0:2,Manchester United,32',0:1,Chris Kirkland,https://www.transfermarkt.us/chris-kirkland/elfmeterstatistik/spieler/3219
1,07/08,Premier League,Manchester United,"Apr 13, 2008",Manchester United,2:1,Arsenal FC,53',1:1,Jens Lehmann,https://www.transfermarkt.us/jens-lehmann/elfmeterstatistik/spieler/122
1,07/08,FA Cup,Manchester United,"Jan 27, 2008",Manchester United,3:1,Tottenham Hotspur,69',2:1,Radek Cerny,https://www.transfermarkt.us/radek-cerny/elfmeterstatistik/spieler/21010
